name,experience_years,technical_score,label
Charles Harmon,0.6,71,0
Eric Mcdonald,5.6,85,0
Deborah Moore,1.2,45,1
Crystal Hernandez,8.7,96,0
Shawn Horn,4.2,92,0
Jacob Brown,0.5,36,1
Madeline Garcia,6.0,45,0
Jenny Taylor,1.0,64,0
Daniel Sutton,2.1,84,0
Jeanette Cox,4.8,13,0
Lori Gillespie,3.5,71,0
Kelli Thomas,3.7,97,0
Jason Armstrong,2.8,28,0
Samantha Sparks,8.1,71,0
Matthew Ray Jr.,9.7,79,0
Melanie Romero,6.1,82,0
Courtney Haas,5.6,77,0
John Powell,9.3,88,0
Sonya Palmer,2.7,23,0
Jeffrey Hall,2.7,97,0
Walter Harris,3.1,43,0
Susan Malone,3.5,23,0
James Garrison,8.7,72,0
Norma Beard,6.6,8,0
Rebecca Marquez,1.4,81,0
Joshua Daugherty,9.7,11,0
Justin Clements,7.5,27,0
Jessica Wilson,3.8,58,0
Mrs. Katherine Whitehead,3.4,47,0
Jonathan Meyer,3.1,41,0
Edward Moreno,7.8,72,0
Allison Elliott,6.0,6,0
Rebecca Evans,1.6,96,0
Daniel Reese,6.2,86,0
Jonathan Brandt,0.8,56,1
Jennifer Hoffman,6.6,62,0
Linda Lopez,6.1,53,0
Meghan Alexander,2.7,96,0
Patricia Hayes,5.1,44,0
Rebecca Stewart,4.3,36,0
Kayla Murphy,6.8,75,0
Elizabeth Baker,4.9,85,0
Karen Long MD,3.1,28,0
Mr. Joseph Choi,4.0,76,0
Linda Hanna,0.5,26,1
Jeffery Proctor,3.0,27,0
Samantha Ross,7.7,97,0
Craig Hanna,2.6,41,0
Sandra Hayes,1.2,63,0
William Lucas,7.5,22,0
Emily Freeman,1.3,68,0
Tiffany Clay,7.0,64,0
Amanda Ewing,5.6,85,0
Jill Stafford,8.1,9,0
Lucas Castillo,4.0,94,0
Benjamin Landry,0.4,2,1
Robert Whitney,4.6,9,0
James Edwards,8.6,73,0
Joshua Moore,4.3,51,0
Shannon Roberts,7.1,53,0
Adam Gonzalez,2.9,51,0
Jared Strong,0.2,41,1
Tara Roth,1.7,79,0
Carrie Gamble,4.6,88,0
Joann Deleon,9.2,11,0
Richard Beard,4.4,13,0
Ray Torres,2.4,75,0
Madison Perez,4.0,10,0
Charles Vincent,4.0,39,0
Jeremy Cooke,7.5,28,0
Melissa Bruce,3.3,21,0
George Lynch,0.8,81,0
William Blanchard,1.1,65,0
Jessica Edwards,1.9,99,0
Christian Lambert,3.5,93,0
Bryan Daniels,9.6,82,0
John Green,8.2,30,0
Travis Atkinson,1.0,32,1
Anthony Ortiz,2.0,77,0
Lindsey Estrada,1.5,97,0
David Bowman,6.6,22,0
Shaun Cooper,9.5,80,0
Penny Cole,4.9,96,0
Denise Griffin,5.6,74,0
Ricardo Sawyer,4.5,72,0
Manuel Ayala,6.4,79,0
Paul Barber,3.2,80,0
Rebecca Erickson,3.2,56,0
Joel Thompson,0.7,56,1
Wendy Parsons,6.3,35,0
Scott Jones,5.9,45,0
Victor Rivera,5.1,39,0
Lisa Moore,4.6,4,0
Joseph Cox,0.6,36,1
Susan Harrison,0.8,11,1
Joseph Rivera,6.2,64,0
Shelby Bartlett,3.8,74,0
Sean Thomas,5.5,94,0
Amanda Kelley,9.0,57,0
Travis Howell,9.1,73,0
Emily Williams,6.5,41,0
Daniel Mueller,6.1,64,0
Mary Sandoval,1.5,7,1
Christina Diaz,4.5,43,0
Mark Powell,9.8,10,0
Sarah Gregory,5.0,22,0
Dennis Deleon,0.4,90,0
Toni Oconnell,4.4,56,0
Eric Hopkins,5.2,78,0
Jason Roberson,1.6,47,1
Benjamin Mccoy,9.2,49,0
Lauren Richardson,4.1,43,0
Sonia Cox,6.8,6,0
Michelle Shaw,7.9,82,0
Cheryl Holmes,3.3,42,0
Brandon Guerra,0.9,86,0
Victor Moyer,3.9,32,0
Miranda Chambers,7.2,84,0
Christina Adams,9.6,77,0
Deanna Giles,8.7,42,0
John Brooks,0.8,84,0
Amber Ryan,1.4,44,1
Jill Castillo,3.1,83,0
Cheryl Schmidt,7.0,50,0
Elizabeth French,1.3,90,0
Doris Olsen,9.4,39,0
Daniel Mccormick,5.6,82,0
Mrs. Christina Flowers MD,7.9,16,0
Sherry Stanley,6.7,94,0
William Haney,10.0,67,0
John Murphy,0.9,85,0
Richard Bryan,4.2,46,0
Darrell Zimmerman,0.2,39,1
Michael Harvey,1.8,27,1
Scott Sanchez,3.4,98,0
Kelly Hill,4.9,28,0
Megan Stevens,10.0,19,0
Andrew Parker,0.8,100,0
Christopher Robinson,1.0,98,0
Traci Mendoza,5.4,94,0
Jerry Middleton,8.8,4,0
Michael Patel,6.6,98,0
Joshua Craig,6.2,76,0
Paula Robinson,3.8,20,0
Stephanie Willis,1.8,88,0
Kim Matthews,7.7,21,0
Donna Smith,7.2,5,0
William Gay,4.1,86,0
Debra Blake,7.2,56,0
Patrick Schultz,6.1,96,0
Benjamin Rasmussen,7.5,57,0
Amy Crane,2.3,30,0
Debra Jensen,3.1,100,0
Samantha Wilkerson,4.7,24,0
Zachary Warner,3.7,73,0
Rebecca Riley,9.8,59,0
Rodney Edwards,7.7,99,0
Anthony Nelson,3.8,67,0
Edward Valencia,4.2,20,0
Clifford Walls,8.2,77,0
Lindsey Sanchez,1.4,32,1
Andrew Reilly,0.5,61,0
Lisa Beasley,8.7,70,0
Matthew Harris,9.3,91,0
Christopher Ryan,8.5,15,0
Elizabeth Chavez,2.9,97,0
Gregory Haynes,1.6,57,1
Ryan Mcintosh,9.1,18,0
Jonathan Hill,8.3,11,0
Jason Jones,9.5,28,0
David Tucker DVM,8.2,44,0
James Manning,9.3,53,0
Gary Murray,0.5,64,0
Jessica Davis,3.7,49,0
Abigail Fowler,9.9,47,0
Cameron Parrish,2.2,40,0
Kevin Hall,9.3,91,0
Leslie Foster,6.5,18,0
